Oscore,Cscore,Escore,Ascore,Nscore,Amphet
-0.58331,-0.00665,-0.57545,-0.91699,0.31287,CL2
1.43533,-0.14277,1.93886,0.76096,-0.67825,CL2
-0.84732,-1.0145,0.80523,-1.6209,-0.46725,CL0
-0.01928,0.58489,-0.80615,0.59042,-0.14882,CL0
-0.45174,1.30612,-1.6334,-0.30172,0.73545,CL1
-1.55521,1.63088,-0.30033,2.03972,-0.67825,CL0
-0.45174,0.93949,-1.09207,-0.30172,-0.46725,CL0
-0.84732,1.63088,1.93886,-0.30172,-1.32828,CL0
-0.97631,1.13407,2.57309,0.76096,0.62967,CL0
-1.42424,0.12331,0.00332,0.59042,-0.24649,CL1
-1.11902,1.81175,0.80523,-0.76096,-1.05308,CL0
0.14143,-0.52745,0.00332,-1.92595,-1.32828,CL1
0.44585,-0.78155,0.16767,-1.6209,2.28554,CL1
-0.01928,3.46436,0.80523,0.94156,-0.79151,CL0
0.44585,1.63088,1.45421,-0.60633,-0.92104,CL0
-1.55521,1.13407,-1.50796,-1.07533,-2.05048,CL2
-1.68062,0.7583,-0.80615,0.28783,-1.55078,CL0
-0.31776,-1.38502,-1.23177,-0.45321,0.52135,CL1
-0.17779,-1.5184,-0.15487,-1.92595,1.37297,CL2
-2.39883,0.7583,-1.7625,-1.92595,-0.34799,CL1
0.7233,-1.13788,0.80523,1.61108,-0.79151,CL1
-1.11902,1.81175,0.47617,-0.60633,-1.1943,CL0
-0.84732,-0.89891,-0.94779,1.11406,0.41667,CL0
-1.27553,-1.0145,-3.27393,0.28783,1.60383,CL2
1.24033,1.46191,0.63779,0.76096,-0.14882,CL1
-1.27553,-0.00665,-0.43999,0.94156,-0.79151,CL1
-3.27393,0.58489,-1.6334,-0.76096,-0.05188,CL0
-0.01928,-2.18109,-1.23177,-0.01729,0.52135,CL1
-0.71727,1.30612,-1.50796,0.28783,0.04257,CL0
0.88309,1.81175,1.74091,0.94156,-1.32828,CL0
-1.27553,-0.65253,-0.80615,-1.47955,0.31287,CL1
0.14143,-0.00665,-0.80615,-0.60633,-1.1943,CL0
-0.01928,-0.00665,-1.23177,0.43852,-0.79151,CL1
0.29338,-0.14277,-0.30033,1.2861,0.41667,CL0
0.88309,-0.78155,0.63779,-2.90161,1.02119,CL2
-2.63199,-0.78155,-0.80615,-0.30172,-0.24649,CL0
-0.17779,-1.5184,-0.57545,-0.01729,-0.24649,CL0
1.06238,-0.65253,0.32197,0.13136,0.31287,CL1
0.29338,0.7583,1.2861,-0.01729,-1.55078,CL1
-1.11902,0.41594,-0.94779,-0.76096,-0.24649,CL0
-0.01928,0.7583,-0.43999,-2.07848,0.04257,CL1
1.06238,-0.40581,0.00332,1.81866,0.82562,CL0
-1.27553,-0.65253,-0.94779,-0.01729,-0.14882,CL0
-0.31776,-1.0145,-0.57545,-0.15487,-0.92104,CL2
0.44585,0.93949,1.45421,1.2861,-1.05308,CL0
1.24033,1.63088,0.47617,0.94156,-0.46725,CL0
-1.11902,1.46191,0.63779,0.28783,0.31287,CL0
0.29338,1.13407,0.80523,0.94156,-2.05048,CL0
-0.31776,-0.65253,-0.80615,-0.15487,0.13606,CL1
-1.97495,0.25953,-0.57545,-0.91699,0.82562,CL0
-0.17779,-0.00665,-0.15487,-1.21213,1.02119,CL1
-0.58331,-1.92173,0.96248,-0.91699,1.13281,CL1
-1.42424,-0.78155,0.00332,0.28783,-0.14882,CL0
